,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
79,Google,Sydney NSW,Australie,"Research Scientist, Google Research",,"Posted
Today","From creating experiments and prototyping implementations to designing new architectures, our research scientists work on real-world problems that span the…"
80,Veeva Systems,Sydney NSW,Australie,Junior Data Analyst (Contract),,"Posted
Posted 7 days ago","This contract-based role involves acquiring and integrating publicly available data into our proprietary data sets.
Prior experience with Web-scraping."
81,Openmesh Network,Remote,Australie,Junior Data Scientist,,"Posted
Posted 30+ days ago","Xnode, enables developers to build their own decentralized data clouds with data connectivity, data APIs, and query & analytics engines in mere minutes, instead…"
82,Australian Secret Intelligent Service,Canberra ACT,Australie,ACTIVATE Graduate Program Intelligence Analyst,,"Posted
Posted 30+ days ago","Aptitude in techniques or technology which assist the collection, mining, manipulation, fusing, exploitation and visualisation of data."
83,Essential Energy,Remote in New South Wales,Australie,Senior Data Engineer,,"Posted
Posted 6 days ago","Certifications in Azure, Databricks or data engineering.
Degree in Computer Science, Information Technology or Engineering or demonstrated capability through…"
84,Deloitte,Canberra ACT 2609,Australie,Senior Manager - Analytics & AI | Canberra,,"Posted
Posted 30+ days ago",Demonstrated experience of understanding and leading a team to utilise a variety of data analytics and AI tools.
85,Scalene Group,Melbourne City Centre VIC,Australie,Graduate Data Scientist,,"Posted
Posted 30+ days ago","Experience in data cleansing, validation and preparation steps.
Experience with one or more from Power BI, Azure ML, Shiny, Python is preferred."
86,Life Without Barriers,Sydney NSW,Australie,P & C Data Analyst. Permanent Part Time,,"Posted
Posted 3 days ago","Deliver reliable data analytics and reporting services covering client, people and financial data.
Support the implementation of the data and analytics strategy…"
87,endeavour group careers,Richmond VIC 3121,Australie,Data Science Chapter Lead,,"Posted
Posted 30+ days ago","Provide strategic input to the business on opportunities for value growth using data science.
Experience in developing machine learning algorithms to drive…"
88,Immutable X,Remote in Sydney NSW,Australie,Data Scientist,,"Posted
Posted 30+ days ago","Proven track record in data science or closely related roles, with 2+ years of experience working on data-driven projects, preferably in a product, platform, or…"
89,RACV,Melbourne VIC,Australie,Data & Insights Lead,,"Posted
Posted 30+ days ago","5+ years’ experience in data analytics or business intelligence.
Tertiary qualification in a highly analytical discipline (e.g. data analytics, statistics,…"
90,RunTime,Greater Adelaide SA,Australie,Senior Machine Learning Scientist,,"Posted
Posted 30+ days ago","Develop and implement advanced machine learning and data science solutions.
Enthusiasm and experience in applying data science and machine learning."
91,Australian National University,Canberra ACT 2601,Australie,Data Analyst,,"Posted
Posted 30 days ago",The research management reporting and analytics group manages data and submissions to the Australian government and other bodies for statutory reporting.
92,Pyramid Global Technologies,Western Australia,Australie,Data Analytics Visualisation Analyst,,"Posted
Posted 30+ days ago","Assist with the ongoing maintenance and enhancement of existing RShiny, RMarkdowns and Dash Apps, including working directly with project stakeholders to elicit…"
93,Healthdirect Australia,Hybrid remote in Sydney NSW 2000,Australie,Data Engineer,,"Posted
Posted 9 days ago","Relevant tertiary qualifications in a field related to data engineering, computer science, or information technology."
94,Nixil,Hybrid remote in Sydney NSW,Australie,Data Test Analyst - Remote,,"Posted
Today","Testing includes ETL, Data acquisition from files, and streaming data on Azure or SQL server.
Bachelor's Degree in IT, Business, or Computer Science (desirable)…"
95,Bupa,Melbourne VIC 3000,Australie,Data Scientist,,"Posted
Posted 30+ days ago","Apply advanced analytics techniques – machine learning, statistical modelling, data mining etc. to develop algorithms and deliver intelligence."
96,Tassal,Hobart TAS,Australie,Safety Data Analyst,,"Posted
Posted 9 days ago",This is an exciting role for an experienced data analyst who is passionate about systems digitisation with a strong focus on analytical outcomes within a safety…
97,Showtime Consulting,Canberra ACT,Australie,Data Engineers,,"Posted
Posted 30+ days ago","Defining the data architecture framework.
Translating business requirements into technical specifications, including data streams, integrations, transformations…"
98,Westpac Group,Hybrid remote in Sydney NSW,Australie,Quantitative Data Analyst,,"Posted
Posted 9 days ago","Analytics, data wrangling, ETL and understanding of analytical databases (not limited to).
Demonstrate thought leadership in analytics."
99,Xero,Melbourne VIC,Australie,Advanced Data Analyst,,"Posted
Posted 30+ days ago","Ideally with data visualization and BI tools such as Tableau, Power BI, or Microstrategy.
Experience delivering analytics in the form of visualisations and…"
100,International Institute of Data & Analytics,Sydney NSW,Australie,Junior Data Analyst/Scientist,,"Posted
Posted 30+ days ago","Experienced in data-driven analytics hands-on experience with deep know-how of predictive modeling, machine learning and data mining, and relevant modeling…"
101,RMIT VN,Hybrid remote in Melbourne VIC,Australie,Data Engineer,,"Posted
Posted 8 days ago","Coordinating and governing data management activities for analytics and reporting.
Defining requirements and standards for data and analytics technologies to be…"
102,Deakin University,Melbourne VIC,Australie,Lecturer or Senior Lecturer in Department of Information Systems and Analytics,,"Posted
Posted 30+ days ago",Expertise in at least three of the following areas of teaching focus within the Department: business analytics; information systems; artificial intelligence for…
103,Commonwealth Bank,Sydney NSW,Australie,Data Analyst,,"Posted
Posted 30+ days ago","Experience and knowledge in data and analytics.
Conducting end to end ownership and delivery of data driven remediation projects."
104,Findex,Remote in Melbourne VIC,Australie,Data Scientist,,"Posted
Posted 30 days ago",This position works with the data science team to develop cloud-based applications and provide data science consulting to our clients.
105,TELUS,Remote,Australie,Media Search Analyst (Australia),,"Posted
Posted 30+ days ago",Preferred level of education/certification - High School degree or higher (Further opportunities may arise to contribute to other tasks on a freelance basis).
106,TikTok,Sydney NSW,Australie,"Tech Lead, Multimodal Machine Learning - Trust and Safety (Australia)",,"Posted
Posted 30+ days ago","Hands on experience in one or more of the following areas: machine learning, deep learning, pattern recognition, anomaly detection, data mining, computer vision…"
107,UniSuper,Melbourne VIC,Australie,"Manager, Business Enablement Data & Analytics",,"Posted
Posted 8 days ago",Help us achieve our goals by articulating the value proposition of data & analytics to all levels of the organisation and making data & analytics outcomes…
