,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
1460,Capgemini,Casablanca,Maroc,COBOL lead developer,CDI,"Posted
Offre publiée il y a 27 jour","Experience with COBOL (including handling SEQ files and/or XML generation).
You have a Bachelor's degree in Computer Science, with a specialization in…"
1461,Oxford HR,Maroc,Maroc,Senior Program Officer | Conflict Dynamics International,,"Posted
Offre publiée il y a 29 jour","Post-graduate degree (master’s degree or equivalent) in political science, social science, international relations, law, international political economy,…"
1462,ISC Maroc,Rabat,Maroc,Architecte Front (H/F),CDI,"Posted
Offre publiée il y a plus de 30 jours","Ses 1850 collaborateurs sont répartis en France (Paris, Lyon, Toulouse, Bordeaux, Rouen et Nantes), en Suisse (Lausanne et Genève), au Luxembourg, en Belgique …"
1463,Infomineo,Casablanca,Maroc,Business Research - Senior Associate - Casablanca,,"Posted
Offre publiée il y a plus de 30 jours","4+ years of experience in a research related field (consulting, data analysis, data processing, data analytics or market research)."
1464,MCC Recruitment,Rabat,Maroc,Opportunità di carriera: agente back office – sviluppo sito e-commerce,,"Posted
Offre publiée il y a plus de 30 jours",Solida conoscenza dei principi di base dell’e-commerce e della SEO.
1465,Infomineo,Casablanca,Maroc,Business Research - Senior Research Analyst - Casablanca,Temps plein,"Employer
Employeur actif il y a 7 jours","You have past experience in or a love for research, consulting or data analysis.
You hold a Bachelors or Masters degree in Business, Economics, or similar field…"
1466,Capgemini,Casablanca,Maroc,SAP Technico-functional consultant,CDI,"Posted
Offre publiée il y a 5 jour","Coming from an engineering school or university curriculum, you hold a Bac+5 degree in computer science.
As a Technical Consultant, you will manage and oversee…"
1467,ADM Value,Rabat,Maroc,Assistente tecnico di lingua italiana a Rabat.,,"Posted
Offre publiée il y a 2 jour","Optando per questa posizione come assistente tecnico, beneficerai di una serie di vantaggi significativi che evidenziano il nostro impegno per il benessere dei…"
1468,Boston Consulting Group,Casablanca,Maroc,Senior Manager - Platinion Casablanca,,"Posted
Offre publiée il y a plus de 30 jours","A University degree with above average academic performance in a STEM related field or business management.
At least 12 years of experience in IT Strategy and…"
1469,Agadir,Casablanca,Maroc,"Offre: Senior associate, business development – western & northern africa open mapping hub – remote – Casablanca, Agadir, Tanger, Maroc, Humanitarian OpenStreetMap Team",,"Posted
Offre publiée il y a plus de 30 jours","» University or college degree in international development, Internationalrelations, sociology, data science, GIS, law or equivalent length work experience in…"
1470,Infomineo,Casablanca,Maroc,Business Research - Research Team Lead / Junior Manager - Casablanca,Temps plein,"Employer
Employeur actif il y a 9 jours","Lead and manage different clients, projects and or teams simultaneously, and setting priorities and budget time for each component.
A healthy work-life balance."
1471,Orange,Salé,Maroc,Lead Architecte Réseau et Infrastructure virtualisée,,"Posted
Offre publiée il y a plus de 30 jours","Master’s degree or higher in Computer science, Engineering or Telecommunication.
The international voice and data wholesale market."
1472,Bénin Digital,Casablanca,Maroc,CONSULTANT AMOA - SIRH - SAP Success Factors - H/F,Temps plein,"Employer
Employeur actif il y a 7 jours",Accompagner le métier dans le recensement des processus RH existants et dans l'harmonisation de ces processus.
1473,Orange,Salé,Maroc,DS - Ingénieur Cloud AWS / Azure,,"Posted
Offre publiée il y a plus de 30 jours","Dans le cadre de la croissance des équipes Cloud chez Orange Business, nous avons besoin d'ingénieur Cloud AWS / Azure (H/F) ."
1474,Capgemini,Casablanca,Maroc,Software Engineer Lead JAVA/FULLSTACK,CDI,"Posted
Offre publiée il y a 14 jour","A graduate of a major engineering school or master’s degree or equivalent (BAC+5).
Complete data structures and design models."
1475,Xpertize.MA,Région de Casablanca-Settat,Maroc,Online Customer Experience Manager H/F,,"Posted
Offre publiée il y a plus de 30 jours","Understanding of loyalty or reward program management.
Analytical mind focused on data-driven decision making."
1476,Orange,Casablanca,Maroc,Business Tools Project Manager,,"Posted
Offre publiée il y a plus de 30 jours","Master degree/engineer level in economics/business or telecoms.
Strong understanding and skills in business analytics and with experience of reporting and…"
1477,Orange,Salé,Maroc,Network Services & Automation Engineer,,"Posted
Offre publiée il y a plus de 30 jours","Master’s degree or higher in Computer science, Engineering or Telecommunication.
Master’s degree or higher in Computer science, Engineering or Telecommunication…"
1478,IT Road,Casablanca,Maroc,Architecte Solutions Digitales,Profession libérale,"Posted
Offre publiée il y a plus de 30 jours","BigData, data Science et Machine Learning.
Les architectures et solutions technologiques actuelles, notamment sur la transformation digitale, la programmation…"
1479,Capgemini,Casablanca,Maroc,Senior Test Manager,CDI,"Posted
Offre publiée il y a 6 jour","Create test data, write procedures.
Propose and implement quality actions, preventive or corrective.
Being a graduate of a top engineering school or equivalent …"
1480,Société Générale,Casablanca,Maroc,Senior Java Software Engineer- H/F/X,CDI,"Posted
Offre publiée il y a 4 jour","Concevoir des solutions via le software craftmanship (behavior driven development, test driven development,.
Challenger les besoins et rédiger les scénarios en…"
1481,DS DeepSource GmbH,Casablanca,Maroc,DPS Implementation Specialist,CDD,"Posted
Offre publiée il y a plus de 30 jours","Perform regular data backups and ensure data integrity.
Provide technical support and troubleshooting for data protection issues.
Fluency in English and French."
1482,Capgemini,Casablanca,Maroc,C pro c lead developer,CDI,"Posted
Offre publiée il y a 10 jour","With a Bac+5 degree from a top engineering school or equivalent, and a minimum of 4 years of experience.
Incident management and user support,."
1483,Software House,Remoto,Portugal,Junior Data Scientist,,"Employer
Ativa Agora mesmo","Familiarity with machine learning frameworks (e.g., scikit-learn, TensorFlow, or PyTorch) and data visualisation tools (e.g., Matplotlib, Seaborn, or Tableau)."
1484,Integer Consulting,Remoto,Portugal,Machine Learning,,"Posted
Anunciada há mais de 30 dias","Aplicação de modelos de Machine Learning.
Desenho de arquiteturas e Implementação de serviços de Machine Learning."
1485,GoContact,Remoto,Portugal,Go.AI Project Manager,,"Posted
Anunciada há 6 dias","Bachelors in information systems, computer science, or similar.
Analyze product use cases and work with software developers to identify critical test scenarios…"
1486,Incyte Corporation,Remoto,Portugal,Medical Science Liaison Portugal,,"Posted
Anunciada há mais de 30 dias",You may also have a right to report concerns to the authority responsible for data privacy in the country where the position is based or where you live or work.
1487,Blue Novius,Remoto,Portugal,Medical writer life science,,"Posted
Anunciada há mais de 30 dias","Previous scientific and/or medical writing experience.
Take lead in communicating with clients for any follow up discussions or clarification."
1488,Mercedes-Benz.io GmbH,Remoto,Portugal,ANALYTICS ENGINEER - ONEWEB (F/M/X),,"Posted
Anunciada há 26 dias","Become a member of our cross-functional product and data team and provide the team with analytics data.
Be in close alignment with your future data peers to…"
1489,MailerLite,Remoto,Portugal,Data BI Analyst - Looker Specialist,,"Posted
Anunciada há 12 dias","At least 3 years of experience in data analytics.
You'll be instrumental in enhancing ETL processes and streamlining data workflows, ensuring efficient data…"
1490,Microsoft,Lisboa,Portugal,Data Annotation Specialist,,"Posted
Anunciada há mais de 30 dias",A few examples may be providing transcription (text) for audio clips or annotating text or images to verify certain types of data.
1491,Prime Engineering,Porto,Portugal,Machine Learning,,"Posted
Anunciada há mais de 30 dias",Experiência profissional em desenvolvimento com Python;
1492,GRiT Solutions,Lisboa,Portugal,Machine Learning Engineer,,"Posted
Anunciada há 5 dias","Proficiency with a deep learning framework such as TensorFlow or Keras.
Understanding of data structures, data modeling and software architecture."
1493,Capgemini,Porto,Portugal,Data & AI Engineer,,"Posted
Anunciada há 16 dias","Create Scala/Spark jobs for data transformation and aggregation as per the complex business requirements.
Develop Scala/Spark programs, scripts, and macros for…"
1494,Michael Page,Remoto in Porto,Portugal,Senior People Analytics Specialist,,"Posted
Anunciada há mais de 30 dias",Working closely with the central People Analytics team to influence and shape data requirements for HR and the underlying data systems and structures.
1495,Zendesk,Remoto,Portugal,Data Science Manager,,"Posted
Anunciada há mais de 30 dias","Identifying new opportunities within the business where data science could have a large impact.
Experience with GCP or AWS."
1496,Bose,Lisboa,Portugal,Data Analyst - Analytics and Insights - Data Center of Excellence,,"Posted
Anunciada há mais de 30 dias","Bachelor's degree in a relevant field such as computer science, data science, mathematics, or statistics.
The ideal candidate has a deep understanding of data…"
1497,Joaquim Chaves Saúde,Oeiras,Portugal,Data Analytics (M/F),,"Posted
Anunciada há mais de 30 dias","Estamos a recrutar para o nosso Departamento Financeiro um/a Data Analytics.
Extrair, compilar, transformar, organizar e analisar dados provenientes de…"
1498,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Machine Learning Senior Officer,,"Posted
Anunciada há mais de 30 dias","Masters Degree in mathematics, statistics, data science, computer science or any engineering related field.
Knowledge of NLP and/or computer vision techniques."
1499,Nestle Operational Services Worldwide SA,Remoto híbrido in Linda-a-Velha,Portugal,Website Content Editor,,"Posted
Anunciada há 7 dias","University Degree ideally in Digital Media, Digital Communication or Digital Technologies.
Quality checks and follow up (e.g. fixing broken links, fixing 404…"
1500,Zurich Insurance,Remoto híbrido in Lisboa,Portugal,Data Scientist,,"Posted
Anunciada há 15 dias",A Zurich está a recrutar para a equipa de Pricing Não Vida um/a Data Scientist para dar suporte ao desenvolvimento e otimização de modelos de AI&ML.
1501,Cisco Systems,Oeiras,Portugal,Data Analyst Intern - Portugal,,"Posted
Anunciada há mais de 30 dias","Build and maintain data pipelines in support of analytics projects and reports.
Perform ad-hoc data analysis to answer specific business questions and audit…"
1502,isq,Oeiras,Portugal,RESEARCHER IN MACHINE LEARNING ENGINEER (M/F) | OEIRAS,,"Posted
Anunciada há 5 dias","If the PhD degree has been conferred by a foreign higher education institution, it must comply with the respective registration or recognition formalities,…"
1503,Xpandit,Remoto híbrido in Lisboa,Portugal,Junior Data Analytics Consultant,,"Posted
Anunciada há mais de 30 dias",A equipa de Business Intelligence & Analytics tem como objetivo assegurar que as organizações conseguem obter mais valor dos seus dados e se tornam…
1504,OutSystems,Remoto,Portugal,Senior Data Analyst,,"Posted
Anunciada há 1 dias","Knowledge of R or Python programming language for data analysis.
Bring awareness across the organization for the data and analytic needs, data-related issues…"
1505,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Data Scientist,,"Posted
Anunciada há mais de 30 dias","Knowledge of data analytics, manipulation and visualization techniques.
Qualifications: Master or PhD degree in Computer Science / Data Science / other science…"
1506,McKinsey & Company,Remoto híbrido in Lisboa,Portugal,"Capabilities & Insights Analyst – Digital & Technology CCN, Data & Analytics",,"Posted
Hoje","2+ years of relevant experience in enterprise data architecture, data management processes or technology, data engineering or data science is a plus."
1507,Fujitsu,Braga,Portugal,Data Analytics and Reporting | Digital Transformation (DX) Team,,"Posted
Anunciada há mais de 30 dias","Acquire data from primary or secondary data sources and maintain data systems.
Develop and implement data collection systems, data analytics and other…"
1508,Nestle Operational Services Worldwide SA,Remoto híbrido in Linda-a-Velha,Portugal,Web Data Analyst,,"Posted
Anunciada há 6 dias","Stay up-to-date with emerging trends and technologies in web analytics and data analysis.
Collect and analyze data from web analytics tools (such as Google…"
1509,Rumos,Remoto híbrido in Lisboa,Portugal,Data & AI Consultant,,"Posted
Anunciada há mais de 30 dias","Experience in programming with R and/or Python;
Degree in Computer Science, engineering or another relevant field;
Microsoft certifications will be valued;"
1510,BNP Paribas,Lisboa,Portugal,Data Analytics Team Leader,,"Posted
Anunciada há mais de 30 dias","Education Level: Master Degree or equivalent (> 4 years).
Experience Level: At least 5 years."
1511,Michael Page,Remoto in Porto,Portugal,Principal Data & Analytics Architect,,"Posted
Anunciada há mais de 30 dias","Experience with modern cloud data technology stacks.
Create Data Governance framework and data architecture designs."
1512,Accenture,Lisboa,Portugal,Artificial Intelligence - Graduate Programme,,"Posted
Anunciada há mais de 30 dias","You will be working on projects revolving around data strategy, data governance, and data management and artificial intelligence applications, working closely…"
1513,SDG Group,Lisboa,Portugal,Junior Data Analyst,,"Posted
Anunciada há mais de 30 dias","Acquire 360° knowledge of Data & Analytics: data architecture, data management, data visualization and data analysis."
1514,Vodafone,Lisboa,Portugal,Data Scientist,,"Posted
Anunciada há 9 dias","Knowledge of programming languages such as Python or R and Machine Learning techniques for data analysis.
Experience with Data Management and Data Modelling to…"
1515,SDG Group,Remoto in Lisboa,Portugal,Machine Learning Architect (100% remote working),,"Posted
Anunciada há mais de 30 dias","Previous experience working as a data engineer in data warehouse or data lake analytics environments.
8 years or more of general experience, and at least 5…"
1516,Accenture,Porto,Portugal,Technology Graduate Programme - Porto,,"Posted
Anunciada há mais de 30 dias","Degree in Computer Science, Computer Engineering, Information Systems, Electronics Engineering, Biomedical, Telecommunications, Mathematics or other similar…"
1517,Zendesk,Remoto,Portugal,ML Engineering Manager,,"Posted
Anunciada há mais de 30 dias","Our machine learning models rely on PyTorch and Tensorflow.
Proven expertise in leading the delivery of machine learning projects to production."
1518,Madiff,Remoto in Lisboa,Portugal,Data Analyst - Remote,,"Posted
Anunciada há mais de 30 dias","Knowledge of different analytics and data visualization tools (Ex: Tableau);
This is a remote position;
Observe key performance indicators and surface any…"
1519,Airbus,Remoto híbrido in Lisboa,Portugal,Comms and Corporate Affairs Data Analyst,,"Posted
Anunciada há mais de 30 dias","Knowledge of data analytics/big data solutions.
Degree in IT or Business Administration with specialisation in statistics, business intelligence, advanced data…"
1520,Leafwell,Remoto,Portugal,Data Engineer,,"Posted
Anunciada há mais de 30 dias","Used dbt or comparable data transformation software.
Strong data management abilities, including data analysis, standardization, cleansing, querying, and…"
1521,Nestle Operational Services Worldwide SA,Remoto híbrido in Linda-a-Velha,Portugal,People Analytics Senior Specialist,,"Posted
Anunciada há 18 dias",Demonstrated experience of successfully translating data into insights and in connecting with external environment and translating implications for people data…
1522,Trakken GmbH,Remoto híbrido in Lisboa,Portugal,Data Scientist (f/m/d),,"Posted
Anunciada há mais de 30 dias","Professional experience of at least 2 years in analytics, machine learning or AI.
Solving complex business challenges by means of advanced analytics, predictive…"
1523,Mastercard,Lisboa,Portugal,Data Scientist II,,"Posted
Anunciada há 13 dias","Experience in data management, data mining, data analytics, data reporting, data product development and quantitative analysis."
1524,Growin - Know to grow,Remoto híbrido in Porto,Portugal,Machine Learning Engineer,,"Posted
Anunciada há 26 dias","Experience in Machine Learning and NLP.
Know-how in Python, Java, C++ and Kafka.
Experience with Data Mining processes.
Ability to communicate in English."
1525,Celfocus,Remoto híbrido in Lisboa,Portugal,Junior Analytics Engineer,,"Posted
Agora mesmo","Transform data to meet the requirements of the target system or data warehouse;
Load transformed data into a data warehouse or other storage systems for…"
1526,Claranet,Remoto,Portugal,Data Engineer,,"Posted
Anunciada há mais de 30 dias","Skilled in data discovery and transformation employing SQL-Like languages;
Practice in distributed processing frameworks such as Spark or Apache Beam;"
1527,"Linde Portugal, LDA",Lisboa,Portugal,Machine Learning Engineer (m/f/d),,"Posted
Anunciada há 8 dias","You graduated from a M.Sc. program in computer science or equivalent.
You will work directly with customer data and set up data pipelines to collect, curate,…"
1528,Celfocus,Remoto híbrido in Lisboa,Portugal,Data Scientist,,"Posted
Agora mesmo","2+ years experience as a Data Scientist or in a role closely related to data (e.g. Analytics);
Experience with Java or Scala;
1+ years of SQL experience."
1529,Feedzai,Lisboa,Portugal,Junior Research Scientist,,"Posted
Anunciada há mais de 30 dias","In this role as a entry level Research Scientist, you will be actively engaged in exploring and developing new AI technologies in advanced machine learning…"
1530,Fujitsu,Braga,Portugal,Team Leader Data Analytics & Reporting | Digital Transformation (DX) Team,,"Posted
Anunciada há mais de 30 dias","Provide overall development support in the implementation of new data analytics and reporting application software packages, systems, solutions and upgrades."
1531,Airbus,Vila Nova de Famalicão,Portugal,Operador de Montagem - Estruturas Aeronáuticas (All Gender),,"Posted
Anunciada há mais de 30 dias","A Airbus Atlantic Portugal encontra-se atualmente a recrutar para o site em Santo Tirso - Porto .
Efetuar a preparação dos componentes para montar;"
1532,IQVIA,Oeiras,Portugal,"Freelance- Translators/Linguists, English into Portuguese (Portugal)",,"Posted
Anunciada há mais de 30 dias","At least 1 year of experience translating, reviewing and editing life sciences content including clinical trial documents."
1533,Hiscox,Remoto híbrido in Lisboa,Portugal,Junior Data Engineer,,"Posted
Anunciada há mais de 30 dias","The main focus of this role is to provide specific data & analytics technical skills to collate and mould our data provision, assisting on maturing a…"
1534,COFCO International,Porto,Portugal,Sourcing Data Engineer (Temporary 8 months),,"Posted
Anunciada há 7 dias","Develop and test architectures that enable data extraction and transformation for predictive or prescriptive modeling;
Build and maintain data systems;"
1535,Zendesk,Remoto,Portugal,Senior Machine Learning Engineer,,"Posted
Anunciada há mais de 30 dias","Our machine learning models rely on PyTorch and Tensorflow.
Our data is stored in S3, RDS MySQL, Redis, ElasticSearch, and Aurora."
1536,Siemens Energy,Amadora,Portugal,Data Analytics Product Manager (f/m/d),,"Posted
Anunciada há mais de 30 dias","Collaborate with designers, developers, and data teams, stay up to date with industry trends, and monitor product performance."
1537,Vestas,Porto,Portugal,Data Analyst,,"Posted
Anunciada há 7 dias","Bachelor's or Master's degree in Engineering, Science, Physics or Business.
Six Sigma Green Belt Training or higher preferred."
1538,Flutter Entertainment,Porto,Portugal,Senior People Analytics Specialist,,"Posted
Anunciada há mais de 30 dias","Developing and driving continuous improvement of data analytics, to provide accurate business insight, enabling and supporting informed decision making."
1539,Emma – The Sleep Company,Remoto in Lisboa,Portugal,Team Lead Analytics Engineering,,"Posted
Anunciada há mais de 30 dias","You will be responsible for our data governance concept and define data contracts and SLAs.
You will act as an advocate for good data practices and train the…"
1540,Synopsys,Porto,Portugal,Sr Software QA and Release Engineer AI/ML,,"Posted
Anunciada há mais de 30 dias",Experience with embedded development and debugging on at least one microprocessor or DSP architecture in either C or Assembly languages.
1541,Vodafone,Lisboa,Portugal,Data Engineer,,"Posted
Anunciada há 7 dias","Master’s degree in computer science or related;
Talend and Kafka (or other streaming tool) knowledge would be valued;
Knowledge on fundamental Unix/Linux;"
1542,Avanade,Porto,Portugal,Artificial Intelligence Engineer - European AI Hub,,"Posted
Anunciada há mais de 30 dias","This role requires data science skills as exploration data analysis, feature engineering, and ML models training and testing.
Develop AI projects and solutions."
1543,Mercedes-Benz.io GmbH,Remoto,Portugal,SENIOR DATA ENGINEER (F/M/X),,"Posted
Anunciada há mais de 30 dias","Supporting deployment and monitoring of machine learning pipelines serving models in production.
Our team also offers consulting and enablement around to our…"
1544,Capgemini Engineering,Lisboa,Portugal,Junior Data Engineer,,"Posted
Anunciada há 12 dias","Experience with big data technologies such as Spark or other distributed processing technologies.
Degree in computer science, software engineering, or other…"
1545,Closer,Remoto híbrido in Lisboa,Portugal,Data Academy,,"Posted
Anunciada há 10 dias","Founded in 2006 and with offices in Portugal, Brazil and United Kingdom, Closer is a Data Science company specialized in Business Intelligence, Advanced…"
1546,Ritain.io,Remoto,Portugal,Data Migration,,"Posted
Anunciada há mais de 30 dias","Bachelors or Masters Degree in Migration or equivalent;
Understand technical data conversion issues, expertly resolve issues, and communicate solutions;"
1547,Closer,Remoto híbrido in Lisboa,Portugal,Data Analyst,,"Posted
Anunciada há mais de 30 dias","Master Degree in Information Technology, Computer Science or Mathematics, Statistics or similar areas;
Experience with dashboards and data visualizations."
1548,Incubeta,Lisboa,Portugal,Data & Analytics Consultant,,"Posted
Anunciada há 20 dias","Ability to code/script in support of customer requirements (SQL and/or Javascript and/or Python).
Provide analytics training to customers on-site,."
1549,Care to Beauty,Remoto híbrido in Porto,Portugal,Data Analyst,,"Posted
Anunciada há 4 dias","Expertise in web analytics tools such as Google Analytics or Adobe Analytics.
Experience with Big Data Tools: Familiarity with big data tools like SQL, Python,…"
1550,Euronext,Porto,Portugal,Data Analyst/ Engineer - Trainee,,"Posted
Anunciada há 27 dias","Knowledge and ability to plan and execute, big data management and analytics;
English (B2 or higher level).
Develop in various projects in the team, working in…"
1551,TeamViewer,Remoto in Porto,Portugal,Senior Analytics Engineer (all genders),,"Posted
Anunciada há 6 dias","University degree in Computer Science, Mathematics, Statistics or Information Systems or equivalent experience with a focus on data."
1552,Airbus,Remoto híbrido in Lisboa,Portugal,HR Data Analyst,,"Posted
Anunciada há mais de 30 dias","Understanding of GDPR and data securilty.
Analyze and ensure high data quality through regular quality checks.
Creativity and aptitude for problem solving."
1553,askblue,Remoto híbrido in Porto,Portugal,Data Engineer,,"Posted
Anunciada há 8 dias","Develop and design data pipelines/ETL in Python;
Global Banking Analytics team is in charge of providing all the data related tools to our Bankers, according to…"
1554,Euronext,Porto,Portugal,Data Governance - Trainee,,"Posted
Anunciada há 27 dias","Analyse company data against defined data quality rules to establish current state of quality.
Data Classification: Analysis of data repositories and boundaries…"
1555,Adidas,Porto,Portugal,Senior Manager Hire to Retire Data (M/F/D),,"Posted
Anunciada há mais de 30 dias","Manage alignment with data protection and data security regulations to ensure compliance of HR reporting and auditing practices.
HR Rewards and Talent Partner."
1556,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Graduates' Programme 2024 Portugal,,"Posted
Anunciada há 19 dias","Bachelor Degree or equivalent (>= 3 years).
During the first twelve months, participants will complete two or three professional development assignments across…"
1557,Maersk,Porto,Portugal,Senior Data Engineer,,"Posted
Anunciada há 13 dias","Hands on experience in Azure, preferably data heavy / analytics applications leveraging relational and NoSQL databases, data warehouse and big data."
1558,OutSystems,Remoto,Portugal,Security Engineer,,"Posted
Anunciada há 1 dias",Public speaking engagements or published research is also a plus; a successful engineer in this role will be expected to represent OutSystems externally from…
1559,Capgemini,Lisboa,Portugal,Junior Data Scientist | Telecom Sector,,"Posted
Hoje","Containerize existing machine learning solutions into REST-based micro services;
At Capgemini Portugal we are looking for a Data Scientist to integrate a…"
1560,Feedzai,Lisboa,Portugal,Data Analyst,,"Posted
Anunciada há mais de 30 dias","Proven experience as a data analyst or similar role.
Proficient in data analysis tools such as SQL, Snowflake, Python, or R.
You Have & You Know-how:"
1561,Maersk,Lisboa,Portugal,Senior Data/Decision Scientist,,"Posted
Anunciada há 12 dias","We are a cross-functional team of data scientists, decision scientists, data engineers and software engineers working together to build reliable, performant and…"
1562,DEUS.AI.,Porto,Portugal,Data Scientist [Medior/Senior],,"Posted
Anunciada há mais de 30 dias","You're skilled with machine learning frameworks: TensorFlow, PyTorch, Scikit-learn,..
No, we are not calling ourselves gods(!), but our name is a reference to …"
1563,UNIPARTNER IT SERVICES,Lisboa,Portugal,Data & AI Senior Consultant,,"Posted
Anunciada há mais de 30 dias","Ser um Consultor Sénior na Unipartner vem com um papel estimulante e desafiante.
Como consultor sénior, irá trabalhar em compromissos facturáveis para conceber,…"
1564,Elementis PLC,Porto,Portugal,Sustainability Specialist,,"Posted
Anunciada há mais de 30 dias","Higher-level approvals are required for significant budget allocations, strategic shifts, or major collaborations that have substantial financial or long-term…"
1565,Parsly,Remoto in Lisboa,Portugal,Data Engineer,,"Posted
Anunciada há mais de 30 dias","Have experience with data mining or extracting usable data from valuable data sources.
Have experience using machine learning to select features, and create and…"
1566,CGD,Remoto híbrido in Lisboa,Portugal,Analytics - AI Engineer,,"Employer
Ativa Agora mesmo","Knowledge of data structures, data modelling, and software architecture.
Bachelor's and/or Master's degree in Computer Engineering or equivalent."
1567,Mastercard,Lisboa,Portugal,"Director, Acceptance Strategy & Product Management",,"Posted
Anunciada há mais de 30 dias","Strong analytics and modelling skills, with a track record of extracting compelling insights from large data sets.
MBA or equivalent a plus."
1568,Michael Page,Remoto in Porto,Portugal,Senior Data Engineer,,"Posted
Anunciada há mais de 30 dias","In-depth understanding of data concepts, data structures, modelling techniques and how best to provision data to support varying consumption needs."
1569,Movilges Intersoft,Remoto in Lisboa,Portugal,AI/ML Developer,,"Posted
Anunciada há mais de 30 dias","Conhecimentos de ﻿machine learning algorithms;
Experiência com ﻿deep learning frameworks e natural language processing;
O que temos para oferecer:"
1570,OutSystems,Remoto,Portugal,Global Support L2 Engineer,,"Posted
Anunciada há 1 dias","Degree in Engineering or other technology-related degrees (BSc, MSc).
All qualified applicants receive equal consideration regardless of race, place of origin,…"
1571,GoContact,Remoto,Portugal,Database Specialist,,"Posted
Anunciada há mais de 30 dias","Bachelor’s or master’s degree in computer science, Information Technology, or related field.
Passionate about continuous learning and development."
1572,Luxoft,Remoto,Portugal,C++ Developer for Risk PnL Platform in Europe (with risk engine and fin services experience),,"Posted
Anunciada há 5 dias","Bachelor's or Master's degree in Computer Science, Engineering, or related field.
Expertise in data structures, algorithms, and software design principles."
1573,Ritain.io,Remoto,Portugal,QA Functional,,"Posted
Anunciada há mais de 30 dias","Knowledge of Automation Testing Tools (like Selenium, Appium, Cucumber, Robot Framework, UFT, SoapUI, Cypress, Ruby on Rails, or others) is a plus;"
1574,Sonae,Remoto híbrido in Porto,Portugal,DATA PLATFORM ENGINEER (M/F),,"Posted
Anunciada há 2 dias","Academic background in Information Systems or a related field;
Work closely with business areas, internal users and technical teams;"
1575,Sonae,Matosinhos e Leça da Palmeira,Portugal,SENIOR DATA ANALYST,,"Posted
Anunciada há 6 dias","Utilizar ferramentas de data analytics para produção e análise de um grande volume e variedade de dados (mercado, lojas, produto, etc.);"
1576,SmartIdiom,Porto,Portugal,Translator Portuguese (Portugal) – English (USA),,"Posted
Anunciada há mais de 30 dias",SMARTIDIOM will require a digital copy of a stamped certificate of qualifications or any other type of document that indicates full completion of academic and…
1577,Continental,Remoto híbrido in Porto,Portugal,Forensic Investigator,,"Posted
Anunciada há mais de 30 dias","Bachelor/Master in IT, data science or business administration/economics.
Worked abroad or experience in international business environment, intercultural…"
1578,Airbus,Remoto híbrido in Lisboa,Portugal,IT Project Manager and Support,,"Posted
Anunciada há mais de 30 dias","Bachelor degree in Information Systems Technology or Engineering.
Preferable to have data management (DAMA) basic knowledge."
1579,Nordex SE,Porto,Portugal,Data Scientist (m/f/d),,"Posted
Anunciada há mais de 30 dias","Minimum one year of experience developing machine learning models or in data science;
Education background in computer science or comparable stream;"
1580,LEADERSHIP BUSINESS CONSULTING,Remoto híbrido in Lisboa,Portugal,Manager AI Supported Services,,"Posted
Anunciada há mais de 30 dias","Master’s degree in Business, Management, or a related field; advanced degree preferred.
Deep understanding of technology trends, AI, tools, frameworks and best…"
1581,Nestle Operational Services Worldwide SA,Remoto híbrido in Linda-a-Velha,Portugal,Social Intelligence Specialist,,"Posted
Anunciada há 6 dias","Experience working with integrated data sets and cross-platform data analysis to identify patterns, correlations, and trends across multiple data sources."
1582,Airbus,Remoto híbrido in Lisboa,Portugal,T&L Data Analyst and Digital Projects,,"Posted
Anunciada há mais de 30 dias","Be the main point of contact for data analytics needs in Transport & Logistics.
In his/her role, the jobholder shall be our Data Expert, being the point of…"
1583,Software House,Remoto,Portugal,Junior BI Analyst,,"Employer
Ativa Agora mesmo","Assist in data modelling and designing data structures to support business intelligence initiatives.
Conduct data quality assessments and implement measures to…"
1584,Capgemini Engineering,Remoto in Lisboa,Portugal,Data Scientist | Mid-Senior,,"Posted
Anunciada há 14 dias","Deep knowledge of data mining and machine learning, deep learning, clustering, recommendation, classification;
Exploratory analysis of the data;"
1585,Closer,Remoto híbrido in Lisboa,Portugal,Data Scientist,,"Posted
Anunciada há mais de 30 dias","Degree in computer science or similar;
Excellent knowledge and effective experience using Rust;
Several years of experience on server/backend development;"
1586,Sanofi,Porto Salvo,Portugal,Data & Digital customer experience trainee,,"Posted
Anunciada há 5 dias","Education: University degree in Health Science, Management or Engineering, preferably an additional education in Business Management or Marketing field."
1587,Bose,Lisboa,Portugal,Data Strategy Analyst,,"Posted
Anunciada há mais de 30 dias","Previous experience maintaining data or extensively working with data in a database.
Proficient in Excel, such as being able to manipulate data or conduct data…"
1588,GRiT Solutions,Porto,Portugal,Data Scientist,,"Posted
Anunciada há 2 dias","Strong background in advanced mathematics, particularly in probability theory and statistics, data mining, and machine learning."
1589,Software House,Remoto,Portugal,Data Engineer,,"Employer
Ativa Agora mesmo","Experience with machine learning frameworks and technologies.
Design and implement data models and schemas to support data analytics and reporting needs."
