,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1,scraping_date
995,Ubisoft,94160 Saint-Mandé,France,Lead Machine Learning Engineer (W/M/NB),,"Posted
Offre publiée il y a plus de 30 jours","In collaboration with data and software engineers, ship models or prediction pipelines to production in our internal or public cloud infrastructures.",18-01-2024
996,Sancare,Télétravail hybride à 75001 Paris,France,Développeur - Architecte Machine Learning,,"Posted
Offre publiée il y a plus de 30 jours","Expérience avec le deep learning.
À l’échelle de l’hôpital, cela représente une quantité massive de données, qui sont largement sous-exploitées.",18-01-2024
997,Accenture,Paris (75),France,Data Strategy / Data Governance Consultant (F/H),,"Posted
Offre publiée il y a 1 jour","Une connaissance des algorithmes de data sciences et des architectures data est un plus.
Définir la stratégie data de grands groupes et accompagner leur…",18-01-2024
998,AIRBUS HELICOPTERS SAS,Marseille (13),France,Data Scientist M/F,,"Posted
Offre publiée il y a 4 jour","Collaborate to industrialise, monitor, and improve our data science models.
Educated to a degree in artificial intelligence or statistics or applied mathematics…",18-01-2024
999,Data ScienceTech Institute,33000 Bordeaux,France,Machine Learning Engineer en Alternance,,"Posted
Offre publiée il y a plus de 30 jours","Proposer des solutions d’extraction et d’exploitation des données.
Exploiter des modèles de données (Data model), gérer et alimenter des bases de données.",18-01-2024
1000,Corinne NEAU,Télétravail hybride à Orléans (45),France,Data Scientist Junior F/H,,"Posted
Offre publiée il y a 4 jour",". Connaissance des étapes du cycle de vie d un projet de science des données.
En tant que data scientist, vous viendrez renforcer nos capacités à répondre à…",18-01-2024
1001,AZAP,Paris (75),France,Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","Dans le cadre de sa croissance, venez rejoindre notre équipe de 35 collaborateurs en tant que Chef de Projet / Data Analyst.",18-01-2024
1002,Chanel,Paris (75),France,Data Scientist Opération & Finance,,"Posted
Offre publiée il y a plus de 30 jours","Diplômé d’une école d’ingénieur, option mathématiques appliquées / data science.
Participer à la veille technologique sur les modèles et nos environnements data…",18-01-2024
1003,Pernod Ricard,75380 Paris,France,Data Analyst Intern M/F,,"Posted
Offre publiée il y a plus de 30 jours","Supporting data analyses to answer strategic business questions from our affiliates or global functions.
A first internships in the field of data or digital…",18-01-2024
1004,Match Group,Télétravail hybride à Paris (75),France,Data/ML Engineer,,"Posted
Offre publiée il y a plus de 30 jours",Identifiez les opportunités business d’applications des méthodes de machine learning / deep learning et développez les algorithmes adaptés créateurs de valeurs.,18-01-2024
1005,ENGIE Global Markets S.A.S.,92400 Courbevoie,France,Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours",More info on GEMS Hub (https://gems.engie.com) or LinkedIn (https://www.linkedin.com/company/engie-global-energy-management-solutions).,18-01-2024
1006,UNESCO,75007 Paris,France,AI Engineer Associate,,"Posted
Aujourd'hui","Validate the data collection, cleansing, and preparation of source data for model training, ensuring data quality, integrity and adequacy to UNESCO data…",18-01-2024
1007,Dassault Aviation,Saint-Cloud (92),France,"Stage : ""Data Science"" appliquée en conception d'aérostructure H/F",,"Posted
Offre publiée il y a 27 jour","Connaissance en Data Science : Maîtrise des principes fondamentaux de la data science, y compris l'analyse de données, la statistique, la modélisation…",18-01-2024
1008,Orano,La Hague (50),France,DATA SCIENTIST - NLP / LLM F/H,,"Posted
Offre publiée il y a plus de 30 jours","Des compétences en développement d’interfaces applicatives, dashboards et/ou data visualization serait un plus.
Télétravail non compatible avec le poste.",18-01-2024
1009,Sightengine,Télétravail,France,Audio & Speech Recognition Data scientist,,"Posted
Offre publiée il y a plus de 30 jours","You love coding and you're comfortable with Python or equivalents.
You have experience running research experiments and are familiar with Tensorflow, PyTorch or…",18-01-2024
1010,Trait d'Union Consulting,Paris (75),France,Product Owner Data Science IA (IT) / Freelance,,"Posted
Offre publiée il y a 7 jour","Secteur : Aménagement urbain et rural.
Projet : Rejoindre une équipe de 7 personnes pour piloter et suivre 10 projets de Data Science en agile Safe.",18-01-2024
1011,ORTEC,Paris (75),France,Junior Data Engineer,,"Posted
Offre publiée il y a plus de 30 jours","As a Junior Data Engineer, you work on projects like designing and building robust and complex data infrastructures for data analytics and machine learning…",18-01-2024
1012,Meetic,Télétravail hybride à 75009 Paris,France,Data/ML Engineer,,"Posted
Offre publiée il y a plus de 30 jours",Identifiez les opportunités business d’applications des méthodes de machine learning / deep learning et développez les algorithmes adaptés créateurs de valeurs.,18-01-2024
1013,Worldline,Seclin (59),France,Product AI Prompt Engineering,,"Posted
Offre publiée il y a plus de 30 jours","Vous étudiez actuellement ou avait récemment obtenu un diplôme en informatique, en sciences appliquées, en science des données, en administration des affaires…",18-01-2024
1014,SCOR,Paris (75),France,Head of Machine Learning Engineering,,"Posted
Offre publiée il y a plus de 30 jours","Central point of contact for technical support of data science projects in L&H.
Being aware of data innovations and help in anticipating market changes related…",18-01-2024
1015,JPMorgan Chase & Co,75001 Paris,France,2024 AI Research Summer Associate Program,,"Posted
Offre publiée il y a plus de 30 jours","Currently pursuing a Master’s degree or PHD in Computer Science, Statistics, Engineering or related fields with an expected graduation date of Fall 2024 through…",18-01-2024
1016,Coperneec,Paris (75),France,Data Scientist - COPERNEEC,,"Posted
Offre publiée il y a plus de 30 jours","Coperneec est un cabinet de conseil spécialiste en développement IT et la valorisation de la Data.
Les expertises de nos consultants couvrent toute la chaîne…",18-01-2024
1017,Grant Thornton,92200 Neuilly-sur-Seine,France,Consultant Data Analytics – Public/Banque – Neuilly (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Le candidat interviendra sur les sujets data analytics que l’équipe prend en charge en tant que consultant.
Au sein de cette plateforme, l’équipe IT réalise des…",18-01-2024
1018,onepoint Group,Paris (75),France,Consultant Data Analytics H/F,,"Posted
Offre publiée il y a plus de 30 jours","Onepoint regroupe plus de 200 experts data sur toutes les dimensions (data science, ML engineering, data analytics, data management, data engineering, data…",18-01-2024
1019,Capgemini Invent,Paris (75),France,Consultant Apprenti - Data Paris F/H,,"Posted
Offre publiée il y a plus de 30 jours","La Data est un pilier stratégique du Groupe, et Invent doit franchir un nouveau pas pour devenir une entreprise “data-centric”.",18-01-2024
1020,SNCF,93210 Saint-Denis,France,STAGE DATA SCIENTIST,,"Posted
Offre publiée il y a 9 jour",Participer au data challenge que l’on organise avec la plateforme Challenge Data (https://challengedata.ens.fr/).,18-01-2024
1021,1Dsolutions,Paris (75),France,Data Scientist,,"Posted
Offre publiée il y a 2 jour","TJM 630€ PARIS Nous collaborons avec un partenaire, actuellement à la recherche d’un(e) professionnel(le) qualifié(e) pour rejoindre son équipe dans le cadre d…",18-01-2024
1022,Evoteo,Lyon 7e (69),France,Data Analyst F/H,,"Posted
Offre publiée il y a 2 jour","Industrialiser les traitements #DATA science au sein du #DATA lake.
Analyser les besoins avec les équipes métiers et #DATA analystes.",18-01-2024
1023,TotalEnergies,Aix-en-Provence (13),France,Stagiaire Data et Modélisation H/F,,"Posted
Offre publiée il y a plus de 30 jours","Connaissances en agronomie et en sciences du végétal ;
AIX EN PROVENCE-PARC CLUB DU GOLF(FRA).
Issue d’une formation Bac+4/5 en école d’ingénieur et/ou…",18-01-2024
1024,KPMG,Courbevoie (92),France,STAGIAIRE DATA SCIENTIST - FÉVRIER/MARS 2024 F/H,,"Posted
Offre publiée il y a plus de 30 jours","Dans le cadre de votre stage, vous assurez une veille sur les techniques data science dans un souci de maintien de la connaissance à la pointe de l’état de l…",18-01-2024
1025,CHAPS VISION,Paris (75),France,STAGE – DATA SCIENCE NOUVELLES STRATEGIES D’EMBEDDINGS EN NLP – H/F,,"Posted
Offre publiée il y a plus de 30 jours","Lille, Suresnes (proche Paris), Bordeaux, Aix-en-Provence, Montpellier, Nancy, Paris.
Evaluer les capacités de calcul d’embeddings par Llama 2 ou d’autres LLM…",18-01-2024
1026,Groupe Kering,Paris (75),France,SAINT LAURENT Data Analyst Intern W/M,,"Posted
Offre publiée il y a 8 jour","Master's degree in statistics/data science, looking for a final year internship.
Collaboration: Work closely with senior data analysts and other stakeholders to…",18-01-2024
1027,Sept Lieues,Télétravail hybride à Paris (75),France,Machine Learning - Computer Vision Engineer,,"Posted
Offre publiée il y a plus de 30 jours","Gros pôle data, environnement innovant et stimulant.
Entreprise axée sur l'innovation dans le domaine des logiciels embarqués et de l'intelligence artificielle …",18-01-2024
1028,CEA,91120 Palaiseau,France,Ingénieur·e de recherche extraction d'information et data science,,"Posted
Aujourd'hui","Niveau Bac+5 ou Doctorat avec des connaissances en machine learning, deep learning et traitement automatique des langues,.",18-01-2024
1029,Inria,Marseille (13),France,Data Scientist internship - Statistical learning for prediction of the response to immunotherapy in lung cancer,,"Posted
Offre publiée il y a plus de 30 jours","Strong background in statistics and machine learning.
Specifically, the project will consist in applying an end-to-end machine learning pipeline to novel…",18-01-2024
1030,Egencia,Issy-les-Moulineaux (92),France,Machine Learning Ops Engineer III,,"Posted
Offre publiée il y a plus de 30 jours","Proven experience in data modeling, schema design patterns and modern data access patterns (including API, stream, data lake) and AWS.",18-01-2024
1031,WorldWide People,Paris (75),France,ingénieur informatique Machine Learning junior. projet informatique de type IA (IT) / Freelance,,"Posted
Offre publiée il y a plus de 30 jours","Ingénieur Machine Learning junior. projet de type IA.
Ingénieur Machine Learning junior. projet de type IA.",18-01-2024
1032,Dassault Systèmes,Ramonville-Saint-Agne (31),France,STAGE - Développeur.se Machine Learning / traitement d’image (F/H),,"Posted
Offre publiée il y a 15 jour","Des compétences en traitement de l’image, machine learning et des bases en 3D sont vivement recommandées.
Constituer un état de l’art scientifique et industriel…",18-01-2024
1033,Meta,Paris (75),France,"Research Scientist Intern, AI Core Machine Learning (PhD)",,"Posted
Offre publiée il y a 14 jour","Experience building systems based on machine learning, reinforcement learning and/or deep learning methods.
Research experience with algorithms for sequential…",18-01-2024
1034,ENGIE,92400 Courbevoie,France,STAGIAIRE_Data science et Stratégie Climat,,"Posted
Offre publiée il y a plus de 30 jours",Etudiant/Etudiante en école d’ingénieur généraliste dans un programme Energie/Environnement et/ou data science.,18-01-2024
1035,BlueDocker,Télétravail hybride à La Ciotat (13),France,Ingénieur machine learning – Imagerie médicale,,"Posted
Offre publiée il y a plus de 30 jours","Vous avez au minimum un diplôme Bac +5 (ingénieur ou université) en informatique, machine learning.
Vous avez au moins 2 ans d’expérience en machine learning et…",18-01-2024
1036,CNRS,Paris 5e (75),France,"Postdoc à l'ENS, transport optimal pour le machine learning H/F",,"Posted
Offre publiée il y a 9 jour",Recherche numérique sur l'implémentation des méthodes sur architectures GPU avec la librairie Pytorch.,18-01-2024
1037,CANDRIAM,Paris (75),France,Fixed Income Quant Analyst - Machine Learning F/M,,"Posted
Offre publiée il y a 2 jour",The Fixed Income Quant team is looking for a trainee to set up an in house framework for prediction issues based on Machine Learning techniques.,18-01-2024
1038,Galeries Lafayette,Paris (75),France,Stagiaire Data Science H/F,,"Posted
Offre publiée il y a plus de 30 jours","Solides connaissances en modélisation statistique, machine learning, deep learning.
Développer des modèles de machine learning pour différents cas d'usages…",18-01-2024
1039,Geniem,59000 Lille,France,DATA SCIENTIST JUNIOR (IT) / Freelance,,"Posted
Offre publiée il y a 21 jour","Obtient des données adéquates, trouve les sources de données pertinentes, fait des recommandations sur les bases de données à consolider, modifier, rapatrier…",18-01-2024
1040,Altelios Technology Group,Marseille 2e (13),France,Ingénieur Data - Intégration Data Science,,"Posted
Offre publiée il y a 7 jour","Mission : En tant qu'Ingénieur Data, vous serez responsable de l'intégration de divers modèles d'apprentissage automatique et de flux de transformation de…",18-01-2024
1041,Dassault Systèmes,Vélizy-Villacoublay (78),France,Ingénieur Data Scientist & Deep Learning – Système d’Information – F/H,,"Posted
Offre publiée il y a 29 jour","Les nouvelles technologies et la Data Science vous passionnent, vous souhaitez découvrir le champ des possibles parmi de nombreux domaines d’expertise comme le…",18-01-2024
1042,Sparteo,Télétravail à 59000 Lille,France,Data Scientist - F/M,,"Posted
Offre publiée il y a plus de 30 jours","Assist developers in enhancing product reliability by analyzing KPI variances and data quality.
Provide operational and sales teams with analyses and insights…",18-01-2024
1043,Segula Technologies,Lardy (91),France,Ingénieur Data Scientist,,"Posted
Publié à l'instant","Il a une vision plus globale, sur ce, il se charge de traduire les problèmes business en problèmes mathématiques et statistiques, afin de fournir des rapports…",18-01-2024
1044,Capital Management Fund,Paris (75),France,Data Analytics - Researcher/Data Scientist - Internship,,"Posted
Offre publiée il y a plus de 30 jours",You have experience or an appetite in the aggregation of heterogeneous sources and the manipulation of huge datasets.,18-01-2024
1045,Stellantis,78300 Poissy,France,STAGE Machine Learning Engineer – Monitoring et Intégration LLM en production,,"Posted
Offre publiée il y a plus de 30 jours","Stellantis possède une entité Data Science transverse qui est support de tous les sujets Machine Learning, en particulier des sujets NLP & Time Series.",18-01-2024
1046,Groupement Les Mousquetaires,92320 Châtillon,France,Product Owner Data & Analytics H/F,,"Posted
Offre publiée il y a plus de 30 jours","Tu as une appétence pour les données, et possède au moins une expérience dans leur valorisation (BI, visualisation, statistiques, optimisation, machine learning…",18-01-2024
1047,Wavestone,Paris (75),France,DATA : Business Intelligence & Data Visualization,,"Posted
Offre publiée il y a 6 jour","Forte de plus de 400 consultants, la Practice Digital Customer a pour vocation d’accompagner nos clients à basculer dans le digital en designant et développant…",18-01-2024
1048,LFB,Lille (59),France,Stage - Data Science,,"Posted
Offre publiée il y a plus de 30 jours","Des connaissances en machine learning, big data, intelligence artificielle et du logiciel Power BI seraient un plus.",18-01-2024
1049,onepoint Group,Paris (75),France,Stage Data Engineering - DataEng_007,,"Posted
Publié à l'instant","Vous serez intégré(e) dans la communauté d’expertise Data.
IA et plus précisément dans la filière d’expertise Data Engineering.",18-01-2024
1050,SURICATE IT,Télétravail à Paris (75),France,Data scientist Sénior (Quasi full remote Paris ou Bordeaux) (IT) / Freelance,,"Posted
Offre publiée il y a plus de 30 jours","Très bonnes connaissances sur Python, Sql, Machine learning et Deep Learning.
Votre principale mission, au sein de nos équipes, sera :",18-01-2024
1051,PARIS-SACLAY CENTER FOR DATA SCIENCE,Orsay (91),France,Data Scientist Position,,"Posted
Offre publiée il y a plus de 30 jours",The Paris-Saclay CDS for has opened data science positions to reinforce the data science ecosystem and to build and support a data science platform.,18-01-2024
1052,CEA,Saclay (91),France,Stage simulation numérique et machine learning pour le génie civil H/F,,"Posted
Offre publiée il y a plus de 30 jours","Simulation numérique, machine learning, Cast3M.
Stage simulation numérique et machine learning pour le génie civil H/F.
Durée du contrat (en mois).",18-01-2024
1053,AXA,Suresnes (92),France,Stage – Data Scientist / ML Engineer - F/H,,"Posted
Offre publiée il y a plus de 30 jours","Votre rôle et vos missions.
Au sein de l’équipe Big Data de la Direction Informatique, Organisation & Data (DIOD) de Direct Assurance (groupe AXA), et en tant…",18-01-2024
1054,Integral Ad Science,Paris (75),France,Machine Learning Engineering Intern,,"Posted
Offre publiée il y a plus de 30 jours","Coursework or project experience in deep learning, computer vision, natural language processing, or related fields.
You should apply if you have:",18-01-2024
1055,CNRS,Pessac (33),France,H/F Post-Doc Dimensionnement multi-échelle de Composites à Matrice Céramique par approche hybride modélisation numérique/machine learning,,"Posted
Offre publiée il y a plus de 30 jours",Intitulé de l'offre : H/F Post-Doc Dimensionnement multi-échelle de Composites à Matrice Céramique par approche hybride modélisation numérique/machine learning.,18-01-2024
1056,Altelios Technology Group,92100 Boulogne-Billancourt,France,Product Data Analyst,,"Posted
Offre publiée il y a 7 jour","Vous rejoindrez l’équipe Product Analytics de notre client, acteur majeur de l'audiovisuel, qui a pour mission d’accompagner l’organisation Produit dans sa…",18-01-2024
1057,Thales,31000 Toulouse,France,Stage --IA Machine Learning pour l'avionique-- F/H,,"Posted
Offre publiée il y a 26 jour","Vous êtes en formation ingénieur BAC+5 spécialisé en machine learning ?
L’expertise de la discipline comprend : machine learning, deep learning, IA basé…",18-01-2024
1058,Sites,Télétravail hybride à 75018 Paris,France,Stage Machine Learning - Détection de défauts sur pale d’éoliennes F/H,,"Posted
Offre publiée il y a plus de 30 jours","Une grande partie de l’équipe de machine learning de CORNIS est en télétravail dans plusieurs villes de France.
Donner du sens à ton travail ?",18-01-2024
1059,SILAMIR,Paris (75),France,Data Scientist,,"Posted
Offre publiée il y a 15 jour","Participer à la définition des bonnes pratiques de data-science (méthodes d?analyse, qualité du code, démarche ).",18-01-2024
1060,Thermo Fisher Scientific,Télétravail,France,Assistant CRA,,"Posted
Offre publiée il y a plus de 30 jours","Bachelor’s Degree in a life science-related field or relevant/equivalent formal academic/vocational qualification.
A Day in the Life:",18-01-2024
1061,Merieux NutriSciences,Tassin-la-Demi-Lune (69),France,Data Scientist,,"Posted
Offre publiée il y a 28 jour","Experience with machine learning algorithms.
Develop predictive models using machine learning algorithms.
Stay up-to-date with emerging trends in data science,…",18-01-2024
1062,SYNERGIE,Villeneuve-d'Ascq (59),France,Stage Data Scientist fraude (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Tu contribues, pour les filiales de Cofidis Group au développement d’algorithmes de machine learning s’appuyant sur la collecte et la manipulation de données.",18-01-2024
1063,Schneider Electric,Rueil-Malmaison (92),France,"Global VP, AI Strategy & Innovation",,"Posted
Aujourd'hui","Being a global thought leader in the area of analytics / artificial intelligence / data science, in anticipation to Offers or Solutions’ creation.",18-01-2024
1064,Malakoff Humanis,Paris 13e (75),France,STAGIAIRE DATA SCIENTIST - Speech Analytics et NLP F/H,,"Posted
Offre publiée il y a 28 jour","Vous êtes créatif et vous souhaitez travailler sur un des défis du moment en machine learning.
Vous préparez un bac+5 (ingénieur, master) en vision par…",18-01-2024
1065,Almatek,Paris (75),France,POT7650-Un ingénieur informatique Machine Learning junior à Paris Gare de Lyon (IT) / Freelance,,"Posted
Offre publiée il y a plus de 30 jours","Almatek recherche pour l'un de ses clients, Un Ingénieur Machine Learning junior à Paris Gare de Lyon.
? Industrialisation de la chaine datascience dans le…",18-01-2024
1066,Science me Up,38130 Échirolles,France,Data scientiste big data - Grenoble,,"Posted
Offre publiée il y a plus de 30 jours","L'entreprise recherche un·e PhD ou ingénieur dans le domaine des data sciences pour intégrer son équipe R&D constituée de 30 personnes (développeurs, architecte…",18-01-2024
1067,Colas,54000 Nancy,France,Data Analyst H/F,,"Posted
Offre publiée il y a 10 jour","Collecter la data (toutes filières confondues) à partir des différents outils métiers ou via des data lakes.
Basé(e) au siège du Territoire Nord-Est à Nancy et…",18-01-2024
1068,Axande,59491 Villeneuve-d'Ascq,France,Data Engineer (Lille) (IT) / Freelance,,"Posted
Offre publiée il y a 15 jour","Développer l?industrialisation de modèles statistiques ou de machine learning demandés par le Product Owner.
Le client recherche un Data Engineer.",18-01-2024
1069,Liebherr-Aerospace Toulouse SAS,Toulouse (31),France,Data Scientist (F/H),,"Posted
Offre publiée il y a 15 jour","De formation supérieure en data science (statistiques, data mining, machine learning, IA), vous maitrisez les langages de type Python, Pyspark, R ainsi que les…",18-01-2024
1070,Capgemini Invent,Paris (75),France,CDI Consultant Junior Data - Paris F/H,,"Posted
Offre publiée il y a 14 jour","La Data est un pilier stratégique du Groupe, et Invent doit franchir un nouveau pas pour devenir une entreprise “data-centric”.",18-01-2024
1071,Novo Nordisk,Chartres (28),France,Data Scientist (H/F),,"Posted
Offre publiée il y a 6 jour","Effectuer une veille technologique sur les outils/méthodes de data science et les expérimenter.
Vous êtes diplômés d’un Master en Analyse d’entreprise,…",18-01-2024
1072,Phaidon London- Glocomms,79000 Niort,France,GCP Cloud Architect - AI & Data (IT) / Freelance,,"Posted
Aujourd'hui","J?espère que la semaine se déroule bien ?
Je suis actuellement à la recherche d?un architecte Cloud avec de l?expérience en intelligence artificielle et en…",18-01-2024
1073,Altelios Technology Group,Puteaux (92),France,Data Scientist ML Engineer F/H,,"Posted
Offre publiée il y a 2 jour","Diplômé en informatique, en science des données ou en ingénierie, passionné par l'IA, vous justifiez d’une expérience de minimum 3 ans dans la mise en…",18-01-2024
1074,LCL,94811 Villejuif,France,Stage Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","Développer des solutions techniques (modèles machine learning supervisé et Non supervisé, Dashboard, KPI, etc.).
Types de métiers Crédit Agricole S.A.",18-01-2024
1075,Ipsen Pharma (SAS),92100 Boulogne-Billancourt,France,Data Scientist,,"Posted
Offre publiée il y a 26 jour","Stay informed about advancements in data science, machine learning, and healthcare analytics;
You will also spearhead the assessment and development of new…",18-01-2024
1076,EURENCO,24100 Bergerac,France,Stagiaire Data Management (H/F),,"Posted
Offre publiée il y a 1 jour","T sciences des données ou équivalent, et vous recherchez un stage de fin d’étude vous permettant de mettre en application vos connaissances dans le domaine…",18-01-2024
1077,Danone,Gif-sur-Yvette (91),France,Stage - Machine Learning Engineer - Gif-sur-Yvette (91) - Mars 2023 - (H/F),,"Posted
Offre publiée il y a plus de 30 jours","Collaborer étroitement avec des data scientists , le data architect , des data engineers , des experts du domaine pour comprendre les exigences du projet et les…",18-01-2024
1078,CEA,Saclay (91),France,"Identification automatique, démélange spectral, machine learning, instrumentation nucleaire H/F",,"Posted
Offre publiée il y a plus de 30 jours","Identification automatique, démélange spectral, machine learning, instrumentation nucleaire H/F.
Elle aura acquis des compétences en traitement du signal et en…",18-01-2024
1079,Sanofi,Marcy-l'Étoile (69),France,Head CMC Data Science - VCDS - All gender,,"Posted
Offre publiée il y a plus de 30 jours","Demonstrated experiences in developing complex data analytics workflow – machine learning, multivariate analysis - on biologics processes.",18-01-2024
1080,Schneider Electric,Télétravail à Grenoble (38),France,"Data Scientist, IA Generative",,"Posted
Offre publiée il y a plus de 30 jours","2 ans d'expérience en science des données dans le domaine du NLP, de l'IA générative/LLM, et idéalement de la vision par ordinateur (deep learning).",18-01-2024
1081,Dataiku,Paris (75),France,Director of Product Management - Data Science,,"Posted
Offre publiée il y a 21 jour","Dataiku is the platform for Everyday AI, systemizing the use of data for exceptional business results.
The role of the Director of Product Management involves a…",18-01-2024
1082,ELAP,Paris (75),France,JEUNE DOCTEUR EN DATA SCIENCE/IA H/F – CDI OU CDD,,"Posted
Offre publiée il y a 21 jour","Rattaché à notre pôle Ingénierie, vous serez en charge de la recherche fondamentale et appliquée, du développement expérimental ainsi que de la consolidation…",18-01-2024
1083,Havas Group,Puteaux (92),France,Manager Data Science,,"Posted
Offre publiée il y a plus de 30 jours","Leadership avéré et désir de contribuer au développement de la cellule data science.
Assurer la qualité des modèles et des résultats produits par l'équipe de…",18-01-2024
1084,Atnahs,Télétravail,France,Medical Science Liaison,,"Posted
Offre publiée il y a plus de 30 jours","Medically trained and/or clinical experience in Neurology, Pulmonology, Internal Medicine, Psychiatry or related field.",18-01-2024
1085,Meta,Paris (75),France,"Postdoctoral Researcher, Brain & AI (PhD)",,"Posted
Offre publiée il y a 27 jour","Experience building systems based on machine learning and/or deep learning methods.
Individuals in this role are expected to be recognized experts in…",18-01-2024
1086,BPCE Solutions Informatiques,Lille (59),France,Data Ingénieur (H/F) - Lille,,"Posted
Offre publiée il y a 2 jour","Avec ses 19 implantations en régions, BPCE SI intervient au plus près des établissements bancaires.
Vous participez à la résolution des incidents et effectuez…",18-01-2024
1087,Thales,92230 Gennevilliers,France,Stagiaire - data science solutions de communication,,"Posted
Offre publiée il y a 6 jour","Dans le cadre de la politique produit des solutions de communications, on propose d’utiliser les techniques de la data science dont l’apprentissage automatique …",18-01-2024
1088,Nhood,Télétravail hybride à Villeneuve-d'Ascq (59),France,Holding - Data Ingénieur,,"Posted
Offre publiée il y a plus de 30 jours","Développer l'industrialisation de modèles statistiques ou de machine learning demandés par le Product Owner.
Vous serez au sein du département Data Factory dans…",18-01-2024
1089,Insitoo Freelances,59000 Lille,France,Machine Learning ingénieur informatique H/F (IT) / Freelance,,"Posted
Offre publiée il y a 6 jour",Le ML Engineer H/F devra avoir des compétences en Data Science (ie. comprendre les algorithmes de ML connus ) et avoir une bonne maîtrise sur le build de…,18-01-2024
1090,Centre d'Epidémiologie et de Santé Publique des...,Marseille (13),France,Automatic classification of plasmodium parasite species and stages of development from stained thin blood smears using machine learning,,"Posted
Offre publiée il y a plus de 30 jours","Knowledge in AI and machine learning.
Both “traditional” machine learning approaches and deep learning approaches will be investigated.",18-01-2024
1091,"Alteryx, Inc.",Paris (75),France,Field Chief Data & Analytics Officer,,"Posted
Offre publiée il y a plus de 30 jours","Assist on key internal data science projects.
Experience leading a data science function through transformation.
Experience with Alteryx a plus.",18-01-2024
1092,GEMY Automobiles,Torcé (35),France,Alternant Data Scientist F/H,,"Posted
Offre publiée il y a plus de 30 jours","Ne cherchez plus, candidatez toute suite !
Vous travaillerez sur des projets importants visant à améliorer la performance de notre service.",18-01-2024
1093,Digiwide,Bordeaux (33),France,Data Scientist junior H/F,,"Posted
Offre publiée il y a plus de 30 jours","L’équipe Data Science intervient aux côtés des équipes conseil en stratégie de KEA.
Dans le cadre de son développement, l’équipe Data Science recrute un Data…",18-01-2024
1094,HP,38026 Grenoble,France,Planning Data Scientist Apprentice m/f,,"Posted
Publié à l'instant","Define data modelling forecasting pattern with statical models or others;
Implement sophisticated reports to analyze data;
Work on process automation tools.",18-01-2024
1095,Gorgias,Paris (75),France,Senior Machine Learning Engineer,,"Posted
Offre publiée il y a plus de 30 jours","Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules-based models.
5-week vacation + 2 weeks of RTT.",18-01-2024
1096,Generali France,93200 Saint-Denis,France,RESPONSABLE DATA SCIENCE ET ANALYTIQUE H/F,,"Posted
Offre publiée il y a plus de 30 jours","Vous exercerez vos missions au sein de la Direction Innovation, Data & Analytiques, Solutions Cognitives où vous contribuerez à tous les enjeux d’avenir liés…",18-01-2024
1097,Artefact,75009 Paris,France,Data Scientist,,"Posted
Offre publiée il y a plus de 30 jours","A Master's degree in machine learning, mathematics, computer science, or related fields.
Strong knowledge of data processing, data modeling, algorithms, and…",18-01-2024
1098,Egencia,Issy-les-Moulineaux (92),France,Internship program - Paris Development Center Machine Learning Engineering,,"Posted
Offre publiée il y a plus de 30 jours","You are familiar with data visualization tools.
You have a good knowledge of data wrangling methods.
You have good databases knowledge (relational and / or…",18-01-2024
1099,CEA,Gif-sur-Yvette (91),France,Federated learning on vertically partitioned data H/F,,"Posted
Offre publiée il y a plus de 30 jours",Federated learning was introduced in 2016 by Google [1] as a new machine learning paradigm where multiple entities (clients) collaborate in solving a machine…,18-01-2024
1100,Gentis Recruitment SAS,Paris (75),France,DATA MANAGER,,"Posted
Offre publiée il y a 2 jour","Diplôme universitaire en informatique, en sciences des données ou dans un domaine connexe.",18-01-2024
1101,Capgemini,31036 Toulouse,France,Docteur - Responsable Technique R&I / Data-Centric AI & Deep Learning - H/F,,"Posted
Offre publiée il y a 21 jour",Nous recherchons un(e) responsable technique afin d’assister un de nos chef de projet R&I dans le domaine de l’intelligence artificielle.,18-01-2024
1102,Société Générale,La Défense (92),France,Data scientist- H/F/X,,"Posted
Offre publiée il y a plus de 30 jours","Modéliser des solution permettant de répondre au problème en mettant en oeuvre des algorithmes de machine learning et de NLP.
Plus qu’un poste, un tremplin.",18-01-2024
1103,FOROIL,Champs-Elysées (75),France,Reservoir & Petroleum Engineers,,"Posted
Offre publiée il y a plus de 30 jours","Ensure full understanding of data measurement or calculation conditions.
Degrees Master or Bachelor degree with majors in Reservoir/Petroleum Engineering,…",18-01-2024
1104,RTE - Le Réseau de Transport d'Electricité,La Défense (92),France,Stage - Data Science pour la Localisation des Défauts Électriques chez RTE à Paris la Défense - F/H,,"Posted
Offre publiée il y a 29 jour","Des connaissances en apprentissage statistique, IA, machine learning.
Durée et/ou période du stage : 6 mois à partir de mars 2024 (flexible).",18-01-2024
